,id_HDATA,Respondent.Serial.SourceFile,Respondent.Origin,Respondent.Origin.Other,DataCollection.Status,DataCollection.InterviewerID,DataCollection.StartTime,DataCollection.FinishTime,DataCollection.MetadataVersionNumber,DataCollection.MetadataVersionGUID,DataCollection.RoutingContext,DataCollection.Variant,DataCollection.EndQuestion,DataCollection.TerminateSignal,DataCollection.SeedValue,DataCollection.InterviewEngine,DataCollection.CurrentPage,DataCollection.Debug,DataCollection.QuotaID,DataCleaning.Note,DataCleaning.Status,DataCleaning.ReviewStatus,address,age,before,biology,expect,gen_ent,gender,museums,visits,visits12,adults,under16s,under11s,galleries,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,human,species,rating_ent[{mammals}].rating_ent_grid,genbalance,agebalance,_name,oth_mus,plan,prefer,school,signs,similar,sounds,side_main,serial,entrance,education,certificat,location,who_with,grp_type,group_org,resident,distance,interview,time_spent,long_short,remember,interest,found_way,signs_how,desc_leave,when_decid,why_decid,plan_time,plan_none,plan_view,know_way,find_way,desc_enter,visothers,plan_order[{first}].plan_order_grid,plan_order[{second}].plan_order_grid,plan_order[{third}].plan_order_grid,plan_order[{fourth}].plan_order_grid,plan_order[{fifth}].plan_order_grid,order[{sixth}].order_grid,order[{seventh}].order_grid,order[{eighth}].order_grid,order[{ninth}].order_grid,order[{tenth}].order_grid,order[{eleventh}].order_grid,order[{twelfth}].order_grid,order[{thirteenth}].order_grid,order[{fourteenth}].order_grid,order[{fifteenth}].order_grid,order[{sixteenth}].order_grid,rating[{other}].rating_grid,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{conservation}].rating_ent_grid,rating_ent[{fish_and_reptiles}].rating_ent_grid,rating_ent[{fossils}].rating_ent_grid,rating_ent[{birds}].rating_ent_grid,rating_ent[{insects}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,rating_ent[{mammals}].rating_ent_grid,rating_ent[{minerals}].rating_ent_grid,rating_ent[{ecology}].rating_ent_grid,rating_ent[{botany}].rating_ent_grid,rating_ent[{origin_of_species}].rating_ent_grid,rating_ent[{human_biology}].rating_ent_grid,rating_ent[{evolution}].rating_ent_grid,rating_ent[{wildlife_in_danger}].rating_ent_grid,plan_order[{first}].plan_order_grid,plan_order[{second}].plan_order_grid,plan_order[{third}].plan_order_grid,plan_order[{fourth}].plan_order_grid,plan_order[{fifth}].plan_order_grid,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{conservation}].rating_ent_grid,rating_ent[{fish_and_reptiles}].rating_ent_grid,rating_ent[{fossils}].rating_ent_grid,rating_ent[{birds}].rating_ent_grid,rating_ent[{insects}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,rating_ent[{mammals}].rating_ent_grid,rating_ent[{minerals}].rating_ent_grid,rating_ent[{ecology}].rating_ent_grid,rating_ent[{botany}].rating_ent_grid,rating_ent[{origin_of_species}].rating_ent_grid,rating_ent[{human_biology}].rating_ent_grid,rating_ent[{evolution}].rating_ent_grid,rating_ent[{wildlife_in_danger}].rating_ent_grid,@1
136,137,,,,177;,,2002-07-19 12:42:30.999,2002-07-30 22:52:31.000,,,186,,,,,,,,,,,,"299 Wilmslow Road, London SE2",1,1,2,1.0,3,1,1;,2.0,1.0,,,,,,,,,,0.887905657291412,1.98026311397552,Peter Sander,1,2.0,,,,2, ,Side,137,2,2,,,1,,,1,1.0,1,,,,,,,,1.0,4.0,6.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,3;,2;,1;,1;,4;,4;,1;,3;,1;,5;,5;,5;,3;,5;,1.0
137,138,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 00:52:31.000,,,186,,,,,,,,,,,, ,4,2,2,3.0,3,1,1;,,,3.0,0.0,0.0,,,,,,,0.887905657291412,0.391927063465118, ,1,2.0,,,,1, ,Side,138,2,2,,4;,2,3.0,,2,,1,,,,,,,,4.0,9.0,4.0,1.0,,,,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,2;,3;,3;,4;,3;,4;,4;,4;,2;,1;,2;,3;,4;,5;,1.0
138,139,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 02:52:31.000,,,186,,,,,,,,,,,,"338 Watling Street Road, London SE18",2,1,1,7.0,3,1,1;,20.0,1.0,2.0,0.0,0.0,,,,,,,0.887905657291412,0.917682945728302,Peter Fellows,1,2.0,,,,2, ,Side,139,2,2,2;,,2,2.0,,1,1.0,1,,,,,,,,1.0,7.0,2.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,1;,1;,1;,1;,1;,3;,1;,1;,1;,1;,1;,5;,1;,3;,1.0
139,140,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 04:52:31.000,,,186,,,,,,,,,,,,"78 Glodwick Road, Manchester",4,2,2,3.0,3,1,1;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.391927063465118,Andrew Coates,1,2.0,,,,1, ,Side,140,2,2,,1;,2,3.0,,1,8.0,1,,,,,,,,11.0,2.0,2.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,3;,3;,3;,5;,3;,3;,5;,3;,3;,3;,3;,3;,4;,5;,1.0
140,141,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 06:52:31.000,,,186,,,,,,,,,,,,"56 Tarvin Road, Newcastle",4,1,2,8.0,3,1,1;,3.0,1.0,,,,,,,,,,0.887905657291412,0.391927063465118,David Allen,1,2.0,,,,2, ,Side,141,2,2,,,1,,,1,8.0,1,,,,,,,,1.0,8.0,5.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,2;,4;,4;,3;,1;,5;,4;,1;,2;,2;,2;,3;,4;,4;,1.0
141,142,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 08:52:31.000,,,186,,,,,,,,,,,,"7 The Rock, Frodsham",4,1,1,5.0,4,2,,10.0,1.0,,,,,,,,,,1.14448666572571,0.391927063465118,Wanda Murray,2,1.0,,,,1, ,Side,142,2,2,4;,2;4;,1,,,1,7.0,1,,,,,,,,6.0,3.0,6.0,,14;,1.0,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14;,;,;,;,;,5;,5;,3;,3;,1;,4;,3;,4;,3;,3;,3;,5;,5;,5;,5;,1.0
142,143,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 10:52:31.000,,,186,,,,,,,,,,,, ,3,2,2,3.0,3,1,1;,,,,,,,,,,,,0.887905657291412,0.792105317115784, ,1,1.0,,,,2, ,Side,143,2,2,,,1,,,1,7.0,1,,,,,,,,1.0,3.0,7.0,,1;4;,2.0,3;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,4;,;,;,;,5;,4;,3;,5;,3;,4;,3;,3;,3;,4;,2;,4;,1;,3;,4;,1.0
143,144,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 12:52:31.000,,,186,,,,,,,,,,,,"15 East View, Deepdale",4,2,2,1.0,4,2,7;,,,2.0,0.0,0.0,,,,,,,1.14448666572571,0.391927063465118,Carol Pilling,1,2.0,,,,1, ,Side,144,2,2,,1;3;,2,2.0,,1,6.0,1,,,,,,,,2.0,5.0,4.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,1;,3;,4;,3;,1;,4;,4;,3;,4;,3;,4;,3;,3;,4;,1.0
144,145,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 14:52:31.000,,,186,,,,,,,,,,,, ,2,2,2,1.0,3,1,1;,,,7.0,0.0,0.0,,,,,,,0.887905657291412,0.917682945728302, ,1,1.0,,,,1, ,Side,145,2,2,,1;,2,2.0,,2,,1,,,,,,,,5.0,2.0,10.0,,1;4;,2.0,4;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,4;,;,;,;,5;,3;,5;,5;,4;,5;,5;,4;,3;,1;,1;,5;,5;,5;,5;,1.0
145,146,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 16:52:31.000,,,186,,,,,,,,,,,,"Clarendon House, Clarendon Street, Cardiff",3,2,1,3.0,3,1,1;3;,,,,,,,,,,,,0.887905657291412,0.792105317115784,Peter Reed,1,1.0,,,,1, ,Side,146,2,2,2;,2;,1,,,1,8.0,1,,,,,,,,2.0,3.0,4.0,,1;4;,2.0,2;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,4;,;,;,;,5;,1;,4;,5;,5;,4;,5;,5;,5;,4;,3;,5;,1;,1;,5;,1.0
146,147,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 18:52:31.000,,,186,,,,,,,,,,,, ,5,2,1,7.0,4,2,1;,,,2.0,1.0,0.0,,,,,,,1.14448666572571,0.826923131942749, ,1,1.0,,,,1, ,Side,147,2,2,4;,3;,2,3.0,,2,,1,,,,,,,,3.0,3.0,4.0,,1;4;,2.0,1;,2;10;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,4;,;,;,;,4;,1;,1;,3;,1;,1;,5;,4;,1;,3;,1;,5;,5;,4;,4;,1.0
147,148,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 20:52:31.000,,,186,,,,,,,,,,,,"7 Bold Lane, Aughton",4,2,2,1.0,3,1,1;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.391927063465118,Ian McPherson,1,1.0,,,,2, ,Side,148,2,2,,,2,3.0,,1,7.0,1,,,,,,,,11.0,2.0,9.0,,1;,2.0,4;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,4;,1;,3;,1;,4;,3;,4;,3;,1;,1;,2;,4;,2;,2;,5;,1.0
148,149,,,,177;,,2002-07-19 12:42:30.999,2002-07-31 22:52:31.000,,,186,,,,,,,,,,,, ,5,1,2,1.0,3,1,1;,20.0,0.0,,,,,,,,,,0.887905657291412,0.826923131942749, ,1,2.0,,,,2, ,Side,149,2,2,,,1,,,2,,1,,,,,,,,3.0,8.0,5.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,4;,3;,5;,1;,1;,4;,4;,1;,1;,1;,5;,4;,4;,4;,1.0
149,150,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 00:52:31.000,,,186,,,,,,,,,,,, ,4,2,2,1.0,4,2,1;,,,,,,,,,,,,1.14448666572571,0.391927063465118, ,1,2.0,,,,1, ,Side,150,2,2,,3;,1,,,2,,1,,,,,,,,2.0,1.0,4.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,3;,3;,4;,1;,5;,3;,4;,4;,3;,1;,5;,5;,5;,4;,1.0
150,151,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 02:52:31.000,,,186,,,,,,,,,,,, ,2,1,1,3.0,3,1,1;3;,1.0,0.0,2.0,1.0,0.0,,,,,,,0.887905657291412,0.917682945728302, ,1,2.0,,,,1, ,Side,151,2,2,2;,2;,2,2.0,,1,5.0,1,,,,,,,,7.0,9.0,6.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,4;,4;,5;,4;,3;,3;,5;,5;,1;,4;,5;,5;,5;,5;,1.0
151,152,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 04:52:31.000,,,186,,,,,,,,,,,, ,4,2,1,1.0,3,1,1;,,,,,,,,,,,,0.887905657291412,0.391927063465118, ,1,1.0,,,,1, ,Side,152,2,2,4;,4;,1,,,2,,1,,,,,,,,11.0,1.0,11.0,,3;,2.0,4;,3;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,;,;,;,;,4;,2;,5;,4;,5;,5;,3;,5;,4;,4;,5;,5;,3;,4;,2;,1.0
152,153,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 06:52:31.000,,,186,,,,,,,,,,,, ,5,2,2,3.0,3,1,2;4;6;7;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.826923131942749, ,1,2.0,,,,1, ,Side,153,2,2,,3;4;,2,3.0,,2,,1,,,,,,,,6.0,5.0,5.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,5;,1;,4;,1;,1;,4;,3;,1;,1;,1;,4;,3;,4;,4;,1.0
153,154,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 08:52:31.000,,,186,,,,,,,,,,,,"65 Stockport Road, Cheadle Heath",2,2,1,3.0,3,1,1;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.917682945728302,Martin Freeman,1,2.0,,7.0,,2, ,Side,154,2,1,2;,,2,3.0,,1,7.0,1,,,,,,,,8.0,2.0,5.0,2.0,,2.0,2;3;,11;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,1;,3;,3;,3;,3;,4;,4;,3;,1;,1;,3;,5;,4;,4;,1.0
154,155,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 10:52:31.000,,,186,,,,,,,,,,,,"34 Out Lane, Croston",4,1,2,5.0,4,2,1;,2.0,0.0,4.0,3.0,2.0,,,,,,,1.14448666572571,0.391927063465118,Alana Sainsbury,1,1.0,,,,1, ,Side,155,2,2,,1;,2,3.0,,1,6.0,1,,,,,,,,2.0,6.0,10.0,,1;7;12;,2.0,3;4;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,12;,7;,;,;,5;,4;,3;,1;,4;,5;,5;,4;,1;,5;,3;,5;,5;,5;,5;,1.0
155,156,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 12:52:31.000,,,186,,,,,,,,,,,, ,4,2,2,1.0,3,1,1;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.391927063465118, ,1,2.0,,,,1, ,Side,156,2,2,,2;4;,2,3.0,,2,,1,,,,,,,,2.0,2.0,6.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,3;,4;,4;,1;,3;,4;,4;,2;,1;,1;,4;,3;,4;,4;,1.0
156,157,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 14:52:31.000,,,186,,,,,,,,,,,,"133 Cardiff Road, Crosby",5,2,2,3.0,3,1,1;2;,,,4.0,3.0,3.0,,,,,,,0.887905657291412,0.826923131942749,Andrew Douglas,1,2.0,,,,2, ,Side,157,2,2,,,2,3.0,,1,7.0,1,,,,,,,,5.0,6.0,4.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,3;,3;,1;,3;,1;,4;,3;,1;,1;,1;,3;,1;,3;,3;,1.0
157,158,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 16:52:31.000,,,186,,,,,,,,,,,,"9 Priory Road, Aberdeen",5,2,2,1.0,4,2,1;7;,,,5.0,3.0,2.0,,,,,,,1.14448666572571,0.826923131942749,Beatrice Romys,1,1.0,,,,2, ,Side,158,2,2,,,2,3.0,,1,8.0,1,,,,,,,,8.0,6.0,5.0,,8;12;,2.0,3;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8;,12;,;,;,;,5;,4;,5;,5;,5;,1;,4;,4;,2;,2;,3;,4;,5;,1;,2;,1.0
158,159,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 18:52:31.000,,,186,,,,,,,,,,,, ,3,2,2,3.0,3,1,1;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.792105317115784, ,1,2.0,,7.0,,2, ,Side,159,2,1,,,2,2.0,,2,,1,,,,,,,,11.0,8.0,7.0,1.0,,,,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,1;,1;,3;,5;,1;,3;,4;,2;,3;,3;,3;,5;,4;,1;,1.0
159,160,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 20:52:31.000,,,186,,,,,,,,,,,,"55 Island Road, London SW11",7,1,2,1.0,3,1,1;,20.0,1.0,2.0,1.0,1.0,,,,,,,0.887905657291412,2.28030300140381,Jim Belsey,1,1.0,,,,1, ,Side,160,2,2,,1;,2,3.0,,1,1.0,1,,,,,,,,1.0,6.0,6.0,,3;5;,1.0,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,5;,;,;,;,3;,5;,5;,1;,5;,1;,5;,5;,1;,1;,1;,4;,3;,5;,4;,1.0
160,161,,,,177;,,2002-07-19 12:42:30.999,2002-08-01 22:52:31.000,,,186,,,,,,,,,,,,"530 Tempest Road, Leeds",4,1,2,2.0,3,1,1;,4.0,0.0,3.0,1.0,0.0,,,,,,,0.887905657291412,0.391927063465118,Stephen Gardiner,1,1.0,,,,1, ,Side,161,2,2,,1;,2,3.0,,1,8.0,1,,,,,,,,2.0,6.0,5.0,,1;,1.0,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,3;,4;,3;,4;,2;,1;,5;,5;,4;,3;,4;,5;,4;,4;,4;,1.0
161,162,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 00:52:31.000,,,186,,,,,,,,,,,,"85 Hesketh Lane, Tarleton",7,1,1,3.0,4,2,1;,12.0,0.0,3.0,1.0,1.0,,,,,,,1.14448666572571,2.28030300140381,Phoebe White,1,1.0,,,,1, ,Side,162,2,2,2;,1;2;,2,3.0,,1,3.0,1,,,,,,,,5.0,6.0,4.0,,1;7;,2.0,4;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7;,1;,;,;,;,5;,3;,4;,4;,1;,1;,5;,5;,1;,1;,3;,4;,4;,4;,3;,1.0
162,163,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 02:52:31.000,,,186,,,,,,,,,,,, ,4,2,2,3.0,3,1,1;,,,,,,,,,,,,0.887905657291412,0.391927063465118, ,1,2.0,,,,1, ,Side,163,2,2,,2;,1,,,2,,1,,,,,,,,1.0,2.0,4.0,2.0,,2.0,3;5;,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,2;,1;,3;,2;,1;,4;,4;,1;,4;,1;,5;,3;,4;,4;,1.0
163,164,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 04:52:31.000,,,186,,,,,,,,,,,,"9 Green Close, Lonsdale",4,2,2,1.0,3,1,1;,,,,,,,,,,,,0.887905657291412,0.391927063465118,Marcus Long,1,1.0,,7.0,,2, ,Side,164,2,1,,,1,,,1,7.0,1,,,,,,,,1.0,7.0,4.0,,1;,2.0,3;5;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,3;,4;,4;,3;,1;,3;,4;,1;,1;,1;,5;,4;,5;,5;,1.0
164,165,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 06:52:31.000,,,186,,,,,,,,,,,,"59 Moorside Road, Eccleshill",7,1,2,2.0,3,1,1;,20.0,0.0,2.0,1.0,0.0,,,,,,,0.887905657291412,2.28030300140381,Michael Miller,1,1.0,,,,1, ,Side,165,2,2,,3;4;,2,3.0,,1,6.0,1,,,,,,,,2.0,6.0,4.0,,1;12;,2.0,7;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12;,1;,;,;,;,5;,4;,2;,3;,1;,3;,4;,4;,1;,2;,2;,5;,4;,5;,3;,1.0
165,166,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 08:52:31.000,,,186,,,,,,,,,,,,"472 Beechall Street, Newcastle",5,2,2,5.0,3,1,1;,,,5.0,2.0,2.0,,,,,,,0.887905657291412,0.826923131942749,Michael Plaxton,1,1.0,,,,2, ,Side,166,2,2,,,2,3.0,,1,8.0,1,,,,,,,,11.0,6.0,4.0,,1;,2.0,3;5;,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,3;,3;,3;,3;,1;,4;,4;,4;,1;,1;,4;,1;,4;,4;,1.0
166,167,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 10:52:31.000,,,186,,,,,,,,,,,,"77 Bolckow Road, Grangetown",4,1,2,3.0,4,2,1;3;,50.0,0.0,5.0,2.0,2.0,,,,,,,1.14448666572571,0.391927063465118,Helen Church,1,2.0,,,,2, ,Side,167,2,2,,,2,3.0,,1,4.0,1,,,,,,,,11.0,6.0,6.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,4;,4;,4;,4;,4;,4;,4;,4;,1;,2;,4;,4;,4;,4;,1.0
167,168,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 12:52:31.000,,,186,,,,,,,,,,,,"507 Seymour Grove, Banff",2,1,2,3.0,3,1,1;4;,1.0,0.0,2.0,0.0,0.0,,,,,,,0.887905657291412,0.917682945728302,Brian Kennett,1,2.0,,7.0,,2, ,Side,168,2,1,,,2,2.0,,1,7.0,1,,,,,,,,1.0,8.0,3.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,3;,4;,2;,3;,1;,5;,4;,2;,1;,1;,4;,5;,3;,4;,1.0
168,169,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 14:52:31.000,,,186,,,,,,,,,,,, ,3,1,2,1.0,4,2,3;,1.0,0.0,,,,,,,,,,1.14448666572571,0.792105317115784, ,1,1.0,,7.0,,1, ,Side,169,2,1,,2;,1,,,2,,1,,,,,,,,3.0,2.0,4.0,,12;14;,2.0,2;5;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14;,12;,;,;,;,5;,3;,1;,4;,1;,3;,5;,4;,4;,5;,1;,5;,5;,5;,2;,1.0
169,170,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 16:52:31.000,,,186,,,,,,,,,,,,"2 Dicconson Terrace, London W2",4,2,2,2.0,4,2,1;,,,3.0,1.0,1.0,,,,,,,1.14448666572571,0.391927063465118,Daisy Ward,1,2.0,,,,2, ,Side,170,2,2,,,2,3.0,,1,1.0,1,,,,,,,,5.0,2.0,4.0,1.0,,,,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,2;,3;,1;,3;,1;,4;,4;,1;,1;,2;,4;,4;,4;,5;,1.0
170,171,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 18:52:31.000,,,186,,,,,,,,,,,,"52 High Street, Weaverham, Newcastle",3,2,2,1.0,3,1,1;,,,2.0,0.0,0.0,,,,,,,0.887905657291412,0.792105317115784,Hugh Gallagher,1,1.0,,7.0,,2, ,Side,171,2,1,,,2,3.0,,1,8.0,1,,,,,,,,2.0,2.0,12.0,,1;,2.0,3;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,4;,3;,4;,3;,2;,4;,4;,4;,2;,2;,4;,2;,4;,4;,1.0
171,172,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 20:52:31.000,,,186,,,,,,,,,,,,"8 Londesborough Road, Market Weighton, Neath",2,2,2,1.0,3,1,1;,,,3.0,0.0,0.0,,,,,,,0.887905657291412,0.917682945728302,Cyril Pattinson,1,1.0,,7.0,,2, ,Side,172,2,1,,,2,2.0,,1,8.0,1,,,,,,,,1.0,2.0,3.0,,12;,2.0,4;5;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12;,;,;,;,;,3;,1;,2;,1;,1;,1;,3;,4;,1;,2;,1;,5;,5;,5;,4;,1.0
172,173,,,,177;,,2002-07-19 12:42:30.999,2002-08-02 22:52:31.000,,,186,,,,,,,,,,,, ,4,1,2,6.0,4,2,1;,6.0,2.0,5.0,0.0,2.0,,,,,,,1.14448666572571,0.391927063465118, ,1,1.0,,,,2, ,Side,173,2,2,,,2,4.0,,2,,1,,,,,,,,1.0,6.0,12.0,,1;8;,2.0,4;,10;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,8;,;,;,;,5;,1;,4;,1;,4;,4;,5;,5;,1;,1;,3;,3;,5;,5;,2;,1.0
173,174,,,,177;,,2002-07-19 12:42:30.999,2002-08-03 00:52:31.000,,,186,,,,,,,,,,,,"36 Danehouse Road, London SW6",2,2,1,8.0,4,2,1;,,,,,,,,,,,,1.14448666572571,0.917682945728302,Paula Wilson,1,2.0,,,,1, ,Side,174,2,2,2;,1;,2,5.0,,1,1.0,1,,,,,,,,1.0,6.0,4.0,1.0,,,,11;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,4;,2;,3;,4;,4;,4;,5;,1;,4;,5;,4;,5;,4;,5;,1.0
174,175,,,,177;,,2002-07-19 12:42:30.999,2002-08-03 02:52:31.000,,,186,,,,,,,,,,,, ,2,2,2,5.0,4,2,1;,,,3.0,0.0,0.0,,,,,,,1.14448666572571,0.917682945728302, ,1,2.0,,7.0,,2, ,Side,175,2,1,,,2,2.0,,2,,1,,,,,,,,1.0,2.0,2.0,1.0,,,,10;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,4;,4;,4;,3;,4;,5;,5;,4;,2;,4;,4;,4;,5;,5;,1.0
175,176,,,,177;,,2002-07-19 12:42:30.999,2002-08-03 04:52:31.000,,,186,,,,,,,,,,,, ,3,2,2,5.0,4,2,1;,,,2.0,0.0,0.0,,,,,,,1.14448666572571,0.792105317115784, ,1,2.0,,,,1, ,Side,176,2,2,,2;,2,3.0,,2,,1,,,,,,,,3.0,1.0,4.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,4;,4;,2;,5;,2;,5;,4;,3;,5;,4;,5;,5;,5;,4;,1.0
176,177,,,,177;,,2002-07-19 12:42:30.999,2002-08-03 06:52:31.000,,,186,,,,,,,,,,,,"304 Windsor Road, Pitlochry",4,2,2,4.0,4,2,1;,,,3.0,0.0,1.0,,,,,,,1.14448666572571,0.391927063465118,Barbara Gray,1,2.0,,,,2, ,Side,177,2,2,,,2,3.0,,1,8.0,1,,,,,,,,1.0,9.0,3.0,2.0,,2.0,2;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,1;,1;,3;,1;,1;,4;,4;,1;,1;,1;,4;,4;,1;,1;,1.0
177,178,,,,177;,,2002-07-19 12:42:30.999,2002-08-03 08:52:31.000,,,186,,,,,,,,,,,, ,3,2,2,1.0,4,2,1;,,,,,,,,,,,,1.14448666572571,0.792105317115784, ,1,2.0,,7.0,,2, ,Side,178,2,1,,,1,,,2,,1,,,,,,,,2.0,2.0,12.0,1.0,,,,2;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;,4;,3;,2;,2;,3;,4;,4;,1;,2;,4;,1;,4;,4;,4;,1.0
178,179,,,,177;,,2002-07-19 12:42:30.999,2002-08-03 10:52:31.000,,,186,,,,,,,,,,,, ,4,1,2,3.0,4,2,1;,1.0,0.0,2.0,0.0,0.0,,,,,,,1.14448666572571,0.391927063465118, ,1,1.0,,,,2, ,Side,179,2,2,,,2,3.0,,2,,1,,,,,,,,9.0,3.0,8.0,,12;,2.0,3;4;,10;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12;,;,;,;,;,3;,1;,1;,3;,3;,1;,1;,3;,3;,4;,1;,4;,5;,4;,4;,1.0
